index,title,sentiment,kode_emiten
61,"Asing Lepas Saham Perbankan & Blue Chip, IHSG Gagal ke 7.000 - CNBC Indonesia",-1,ADRO
62,"Asing Net Sell Rp 1,1 T, Saham Bank Ini Paling Banyak Dijual - CNBC Indonesia",-1,ADRO
63,"IHSG Akhirnya Tembus 7.000 Lagi, Berkah KTT ASEAN? - CNBC Indonesia",1,ADRO
64,"Sah! BUMI Masuk Indeks FTSE Syariah, Sahamnya Terbang 1,39% - CNBC Indonesia",1,ADRO
65,Asing Terciduk Lepas Saham Ini Saat IHSG Mau Tembus 7.000 - CNBC Indonesia,-1,ADRO
66,"IHSG Menguat Terus, Asing Kompak Lepas 10 Saham Ini - CNBC Indonesia",-1,ADRO
67,Investor Asing Ramai-ramai Lego 10 Saham Ini Kala IHSG Loyo - CNBC Indonesia,-1,ADRO
68,Asing Terciduk Lepas 10 Saham Ini Kala IHSG Pesta Pora - CNBC Indonesia,-1,ADRO
69,"Batu Bara Rehat Dulu, Sahamnya di RI Ikutan Loyo - CNBC Indonesia",-1,ADRO
70,10 Saham Ini Diam-diam Malah Dilego Asing Kala IHSG Perkasa - CNBC Indonesia,-1,ADRO
71,Asing Terciduk Borong 10 Saham Ini Kala IHSG Menguat - CNBC Indonesia,1,ADRO
72,"IHSG Sumringah Lagi, 6 Saham Ini Penopangnya - CNBC Indonesia",1,ADRO
73,"Harga Batu Bara Masih Mendidih, Sahamnya di RI Pesta Pora - CNBC Indonesia",1,ADRO
74,"Net Buy Rp 132,05 M, Ini Saham Pilihan Asing Kemarin - CNBC Indonesia",1,ADRO
75,"Saham Batu Bara Seksi Lagi, Euforia Sesaat atau Tahan Lama? - CNBC Indonesia",1,ADRO
76,"Dukung Anies, Segini Harta dan Gurita Bisnis Surya Paloh - CNBC Indonesia",0,ADRO
77,"Adaro Energy Rela Gelontorkan Rp 4,1 T Untuk Beli Ini! - CNBC Indonesia",0,ADRO
78,"ADMR Kantongi Rp 2,5 T Buat Bangun Smelter Aluminium - CNBC Indonesia",0,ADRO
79,Deretan Saham Ini Dilepas Asing Saat IHSG Hijau Tiga Hari - CNBC Indonesia,-1,ADRO
80,"Laba Adaro Energy Semester I 2023 Rp 14,93 T, Turun 25,9% - CNBC Indonesia",-1,ADRO
81,"IHSG Sumringah Lagi, 7 Saham Ini Jadi Penopang - CNBC Indonesia",1,ADRO
82,"Asing Net Sell Rp 2,31 T, Dua Saham Big Bank Banyak Dilepas - CNBC Indonesia",-1,ADRO
83,3 Saham Bank Raksasa Jadi Penyelamat IHSG Hari Ini - CNBC Indonesia,1,ADRO
84,"Ditunjuk Jadi Pengganti Luhut, Saham Sandiaga Uno Lompat - CNBC Indonesia",0,ADRO
85,"Dunia Memanas, Sektor Energi Makin Mengganas! - CNBC Indonesia",1,ADRO
86,"IHSG Gagal Happy Weekend, Asing Borong 10 Saham Ini - CNBC Indonesia",1,ADRO
87,Investor Wajib Tahu! Deretan Saham Murah & Fundamental Solid - CNBC Indonesia,0,ADRO
88,Asing Terciduk Borong 10 Saham Ini Kala IHSG Melemah - CNBC Indonesia,1,ADRO
89,Asing Diam-diam Koleksi 10 Saham Ini Kala IHSG Menguat - CNBC Indonesia,1,ADRO
90,"IHSG Sumringah Lagi, 4 Saham Ini Jadi Penopangnya - CNBC Indonesia",1,ADRO
91,"IHSG Menghijau Lagi, 5 Saham Ini Jadi Penopangnya - CNBC Indonesia",1,ADRO
92,"Asing Terciduk Lepas 10 Saham Ini Pekan Lalu, GOTO Nomor 1? - CNBC Indonesia",-1,ADRO
93,"Asing Net Sell Rp 17,92 T, Saham Ini Paling Banyak Dijual - CNBC Indonesia",-1,ADRO
94,Produksi Grup Adaro Semester I-2023 Naik 19% Jadi 33 Juta Ton - CNBC Indonesia,1,ADRO
95,"IHSG Melemah, Asing Jual 10 Saham Ini - CNBC Indonesia",-1,ADRO
96,Deretan Saham yang Dijual Asing Saat IHSG Hijau - CNBC Indonesia,-1,ADRO
97,Mau Saham Murah tapi Enggak Murahan? Cek 10 Daftar Ini - CNBC Indonesia,0,ADRO
98,"IHSG Ditutup Merah, Asing Kompak Lepas Saham Ini - CNBC Indonesia",-1,ADRO
99,"Harga Batu Bara Rebound, Saham Batu Bara Bergairah Lagi - CNBC Indonesia",1,ADRO
100,IHSG 'Galau' Tapi 6 Saham Ini Jadi Penahan Koreksi - CNBC Indonesia,1,ADRO
101,"Waspada IHSG Menuju Level Terendah, MYOR Hingga KIJA Layak Diburu Pemburu Cuan - Investor.ID",1,ADRO
102,Transaksi Digital Banking Tembus Rp 5.000 Triliun - Investor.ID,1,ADRO
103,"Asing Akumulasi, TLKM Hingga JSMR Paling Diburu - Investor.ID",1,ADRO
104,"Yang Pegang Saham Medco Sabar, Target Harga Masih Tinggi - Investor.ID",0,ADRO
105,"Mirae: IHSG Konsolidasi, Pemodal Bakal Serok Cuan dari MAPI, ADRO dan MAPA - Investor.ID",1,ADRO
106,"Saham ADRO, PTBA, ITMG Cs Bisa Panas Gara-gara Ini - Investor.ID",1,ADRO
107,"Ajaib Sekuritas: IHSG Melemah Terbatas, BRIS, ADMR dan ACES Dijagokan Cuan - Halaman 2 - Investor.ID",1,ADRO
108,"IHSG Dibuka Menguat, Lima Saham Melambung Tinggi - Investor.ID",1,ADRO
109,Saham Pilihan untuk Trading 20 September dan Target Harganya - Investor.ID,0,ADRO
110,"Saham Ini Terbang 1.450%, Bursa Kembali Bertindak - Investor.ID",1,ADRO
111,"Mirae: IHSG Menguat, WOOD, ADRO dan AMRT Masuk Radar Cuan - Investor.ID",1,ADRO
112,Kumpulan Berita Radar Cuan Terbaru Dan Terkini Hari Ini - Investor.ID - Investor.ID,0,ADRO
113,Adu Cuan Empat Saham Batu Bara - Investor.ID,1,ADRO
114,Sinergi Andalan Prima (INET) Gaet OneWeb - Investor.ID,0,ADRO
115,"IHSG Dibuka Naik Tipis, TGUK Lagi-lagi Terbang - Investor.ID",1,ADRO
116,"IHSG Anteng di Zona Hijau, HITS Masuk Barisan Saham Melejit - Investor.ID",1,ADRO
117,"Asing Belanja Banyak, Getol Borong AMMN - Investor.ID",1,ADRO
118,"Bukan PTBA, tapi Saham Ini yang Dijagokan di Sektor Batu Bara - Investor.ID",0,ADRO
119,"Ajaib Sekuritas: IHSG Mixed, Simak Strategi Cuan HRUM, BRPT dan TLKM - Investor.ID",0,ADRO
120,"MNC Sekuritas: IHSG Lanjut Menguat, Jangan Lewatkan Peluang Cuan ADRO Hingga PNLF - Investor.ID",1,ADRO
121,"Asing Masif Jualan, 10 Saham Ini Jadi Bulan-bulanan - Investor.ID",-1,ADRO
122,"Phintraco Sekuritas: IHSG Terkoreksi, Pantau Potensi Cuan Saham Energi dan Barang Baku Berikut - Investor.ID",1,ADRO
123,"ADRO, BUMI, BRMS Masuk Indeks FTSE Global Equity Shariah - Investor.ID",1,ADRO
124,"IHSG Kembali Melesat, Lima Saham Ini Cuan Besar - Investor.ID",1,ADRO
125,"Beberapa Sektor yang Terdampak Pemilu, 7 Saham Dijagokan - Investor.ID",1,ADRO
126,"Investor Asing Net Buy Rp 505 Miliar, Lima Saham Ini Diborong - Investor.ID",1,ADRO
127,"Saham Adaro Minerals (ADMR) Bangkit, Cuan Tembus 47% Sebulan - Investor.ID",1,ADRO
128,"Pegang Terus Saham-saham EBT Ini, Harga Masih Bisa Lari - Investor.ID",1,ADRO
129,Ini Pemicu Laba Bersih Bukit Asam (PTBA) Terkikis hingga 55% - Investor.ID,-1,ADRO
130,Wanita Ini Punya Kontribusi Besar bagi Blibli Grup Djarum (BELI) - Investor.ID,0,ADRO
131,"Pilarmas: IHSG Menguat Terbatas, Jangan Lewatkan Peluang Cuan MEDC Hingga ADRO - Investor.ID",1,ADRO
132,"Adaro (ADRO) Bikin Kejutan, Saham Bisa Balik ke Rp 3.000 Lebih - Investor.ID",1,ADRO
133,"Meski Laba Turun, Target Saham Adaro (ADRO) masih Menggiurkan - Investor.ID",0,ADRO
134,"Harga Minyak Turun Hampir 1%, Tertekan Peningkatan Stok Bensin AS - Investor.ID",-1,ADRO
135,Saham Pilihan untuk Trading 24 Agustus dan Target Harganya - Investor.ID,0,ADRO
136,"Phintraco Sekuritas: IHSG Rawan Koreksi, Perhatikan Delapan Saham Defensif Berikut - Investor.ID",0,ADRO
137,Adaro Energy (ADRO) Belanjakan Rp 4 Triliun untuk Hal Ini - Investor.ID,0,ADRO
138,"Pendapatan Adaro (ADRO) Turun, Beban Pokok Melonjak, Boy Thohir Beri Penjelasan - Investor.ID",-1,ADRO
139,"CUAN Sudah Buka-bukaan soal Dana IPO hingga Rencana Eksplorasi Emas, Kapan Suspensi Dicabut? - Investor.ID",0,ADRO
140,"Meski IHSG Naik Tipis, Pemodal Asing Torehkan Net Buy Rp 584 Miliar - Investor.ID",1,ADRO
141,"Saham Batubara Melesat, Ternyata Gara-gara Aturan Ini - Investor.ID",1,ADRO
142,"PANI Kasih Pemodal Cuan Gede, HUMI Paling Jeblok - Investor.ID",0,ADRO
143,PTBA dan ADRO Bakal Untung Besar Gara-gara Aturan Ini - Investor.ID,1,ADRO
144,"BRI Danareksa Sekuritas: IHSG bisa Naik, Cermati Tiga Saham Ini - Investor.ID",1,ADRO
145,"Phintraco Sekuritas: IHSG Fluktuatif, Pantau Peluang Cuan Tujuh Saham Berikut - Investor.ID",1,ADRO
146,"Jumlah Pemegang Saham Adaro (ADRO) Makin Banyak, Para Konglomerat Ini Ikut Koleksi - Investor.ID",1,ADRO
147,Sosok Konglomerat Wanita Berpengaruh di Adaro (ADRO) - Investor.ID,0,ADRO
148,Adaro Energy (ADRO) Buka-bukaan soal Bisnis Baru - Investor.ID,0,ADRO
149,"Ada Perubahan Signifikan Mengenai Hal Berikut, Bos Indo Tambangraya (ITMG) Beri Penjelasan - Investor.ID",0,ADRO
150,Adaro Energy (ADRO) Ungkap Kinerja Semester I - Investor.ID,0,ADRO
151,Memburu Cuan dari Sejumlah Emiten yang Royal Tebar Dividen di Akhir Tahun - Investasi Kontan,1,ADRO
152,"IHSG Melemah Tipis ke 7.010,5 di Pagi Ini, TBIG, TLKM, BUKA Jadi Top Losers LQ45 - Investasi Kontan",-1,ADRO
153,Simak Rekomendasi Emiten yang Bakal Bagi Dividen Interim pada Kuartal IV 2023 - Investasi Kontan,1,ADRO
154,"Emiten Ini Berpotensi Tebar Dividen Interim, Cek Rekomendasi Sahamnya - Investasi Kontan",1,ADRO
155,"Sejumlah Emiten Berpotensi Bagi Dividen Interim, Berikut Rekomendasi Sahamnya - Investasi Kontan",1,ADRO
156,"Tersulut Harga Komoditas, Ini Tips Berinvestasi di Saham Berbasis Energi - Investasi Kontan",0,ADRO
157,"IHSG Naik 0,49%, Ini Top Gainers & Losers Pasar Saham Sepekan - Investasi Kontan",0,ADRO
158,"Harga Saham Sektor Energi Tersengat Kenaikan Harga Komoditas, Cek Rekomendasi Analis - Investasi Kontan",1,ADRO
159,Intip Rekomendasi Saham Emiten Energi di Tengah Kenaikan Harga Minyak dan Batubara - Investasi Kontan,1,ADRO
160,"IHSG Bergerak Tipis, Saham MEDC Top Gainer LQ45 Pada Rabu (13/9) Pagi - Investasi Kontan",1,ADRO
161,"Cek Rekomendasi Saham ADRO, ARTO, CPIN, PNLF Untuk Hari Ini (12/9) - Investasi Kontan",1,ADRO
162,"IHSG Naik Tipis 0,06% ke 6.995 Pada Rabu (6/9), MEDC, HRUM, ADRO Top Gainers LQ45 - Investasi Kontan",1,ADRO
163,"ADRO, BUMI, BRMS, dan MAPA Masuk Indeks FTSE Global Equity Shariah - Investasi Kontan",1,ADRO
164,Simak Rekomendasi Saham untuk Trading Hari Ini (5/9) - Investasi Kontan,0,ADRO
165,Bumi Resources (BUMI) Masuk FTSE Global Equity Sekaligus FTSE Global Equity Shariah - Investasi Kontan,1,ADRO
166,"Simak Rekomendasi Saham dari MNC Sekuritas Hari Ini, IHSG Diproyeksi Tembus 7.000 - Investasi Kontan",1,ADRO
167,"Intip Rekomendasi ADMR, ADRO, CTRA, BTPS, ARKO, MAPI untuk Hari Ini (29/8) - Investasi Kontan",0,ADRO
168,"IHSG Menguat ke 6.954,6 di Pagi Ini (29/8), Sektor Teknologi Melejit - Investasi Kontan",1,ADRO
169,"IHSG Menguat 0,38% ke 6.921 Pada Senin (28/8), BRPT, SRTG, ADRO Top Gainers LQ45 - Investasi Kontan",1,ADRO
170,"Menguat di Awal Pekan, IHSG Berpotensi Kembali Naik Pada Selasa (29/8) - Investasi Kontan",1,ADRO
171,"IHSG Diprediksi Lanjut Menguat pada Selasa (29/8), Simak Saham Rekomendasi Analis - Investasi Kontan",1,ADRO
172,"IHSG Terkerek ke Level 6.921 pada Senin (28/8), Simak Rekomendasi Saham Pekan Ini - Investasi Kontan",1,ADRO
173,"Cek Rekomendasi Saham BBNI, ADRO, GOTO, BRMS, MAPA dan ERAA untuk Jumat (25/8) - Investasi Kontan",0,ADRO
174,"IHSG Melemah 0,35% di Sesi I Jumat (25/8), BRPT, ESSA, TBIG Jadi Top Gainers LQ45 - Investasi Kontan",1,ADRO
175,"Laba Bersih Adaro Energy (ADRO) Turun 27,9% di Semester I-2023 - Investasi Kontan",-1,ADRO
176,Penurunan Harga Jual Menggerus Laba Bersih Mayoritas Emiten Tambang Batubara - Investasi Kontan,-1,ADRO
177,Ini Faktor Penekan Laba bersih Adaro Energy (ADRO) Sepanjang Semester I-2023 - Investasi Kontan,-1,ADRO
178,"IHSG Menguat Pada Awal Perdagangan Rabu (23/8), ADRO, PTBA, ITMG Top Gainers LQ45 - Investasi Kontan",1,ADRO
179,"IHSG Menguat 0,43% ke 6.946 di Sesi I Rabu (23/8), PTBA, AMRT, ADRO Top Gainers LQ45 - Investasi Kontan",1,ADRO
180,"IHSG Naik Tipis 0,07% ke 6.921, BUKA, TPIA, MAPI Top Gainers LQ45 Hari Ini (23/8) - Investasi Kontan",1,ADRO
181,"Harga Emas di Pegadaian, Siang Ini Rabu 23 Agustus 2023, Cek Daftarnya di Sini - Investasi Kontan",0,ADRO
182,"Simak Rekomendasi ADRO, AMMN, BMRI, INDY, MEDC, AMRT untuk Perdagangan Selasa (22/8) - Investasi Kontan",0,ADRO
183,"Cek Rekomendasi Saham ADRO, AMMN, BMRI, INDY, MEDC, AMRT untuk Selasa (22/8) - Investasi Kontan",0,ADRO
184,Laba Adaro Minerals (ADMR) Menyusut 19% di Semester I-2023 - Investasi Kontan,-1,ADRO
185,"Menguat 22,22% Dalam Sebulan, Saham Adaro Minerals (ADMR) Masuk Fase Uptrend? - Investasi Kontan",1,ADRO
186,Ini Penyebab Laba Bersih Adaro Minerals (ADMR) Tergerus Sepanjang Semester I - Investasi Kontan,-1,ADRO
187,"IHSG Naik 0,09% ke 6.866 Hari Ini (21/8), ESSA, BUKA, ADRO Top Gainers LQ45 - Investasi Kontan",1,ADRO
188,"IHSG Naik 0,11% ke 6.867 Pada Sesi I Senin (21/8), BUKA, AMRT, ADRO Top Gainers LQ45 - Investasi Kontan",1,ADRO
189,"Harga Batubara Naik 15,10% dalam Sebulan, Intip Rekomendasi Saham Emitennya - Investasi Kontan",1,ADRO
190,"IHSG Diprediksi Konsolidasi Pada Selasa (22/8), Simak Saham Rekomendasi Analis - Investasi Kontan",0,ADRO
191,"Kompak Memerah, Inilah Harga Saham GOTO & BELI di Perdagangan Bursa Senin (21/8) - Investasi Kontan",-1,ADRO
192,"IHSG Menguat ke 6.866, BRMS, BUMI, BMRI Paling Banyak Net Buy Asing Hari Ini - Investasi Kontan",1,ADRO
193,"Harga Emas di Pegadaian, Siang Ini Senin 21 Agustus 2023, Cek Daftarnya di Sini - Investasi Kontan",0,ADRO
194,"IHSG Naik 0,07% ke 6.915 Pada Selasa (15/8), GOTO, PGAS, ADRO Jadi Top Gainers LQ45 - Investasi Kontan",1,ADRO
195,Simak Rekomendasi Saham Golden Energy (GEMS) saat DSSA Jadi Pengendali - Investasi Kontan,0,ADRO
196,Volume Produksi Batubara Adaro Energy (ADRO) Naik 19% Selama Semester I - Investasi Kontan,1,ADRO
197,Wijaya Karya (WIKA) Garap 23 Proyek Strategis Nasional pada Semester II - Investasi Kontan,1,ADRO
198,"Rekomendasi BRI Danareksa: Buy Saham HRUM, MAPI, ADRO, dan Sell MDKA, HMSP, BSDE - Investasi Kontan",0,ADRO
199,Adaro Energy Indonesia (ADRO) Bidik Produksi Batubara 64 Juta Ton Hingga Akhir 2023 - Investasi Kontan,0,ADRO
200,"Kinerja Adaro Minerals (ADMR) Bakal Terdongkrak Aluminium, Simak Saran Analis - Investasi Kontan",1,ADRO
201,"Cara Daftar dan Syarat Program Mudik Gratis BRI, BTN, dan Pegadaian 2022",0,BBRI
202,BRI Surabaya Bidik 4.000 Merchant EDC Baru di Ajang SSF 2023,1,BBRI
203,BRI Andalkan BRI Spot untuk Dongkrak Kredit Mikro,1,BBRI
204,"IHSG Belum Aman, Pantau Saham BBRI, SMGR, MIKA, ICBP, INDF",0,BBRI
205,"Jadi BUMN Terbaik, BRI Borong 8 Penghargaan Kehumasan",1,BBRI
206,"IHSG Ditutup Menguat ke 6.945, Saham BBRI, UNTR, GOTO, dan BBCA Laris Manis",1,BBRI
207,"Saham BRI (BBRI), BCA (BBCA), Mandiri (BMRI), BNI (BBNI) Anjlok, Intip Kinerjanya",-1,BBRI
208,BRI Kenalkan Startup Plepah ke Panggung Dunia,0,BBRI
209,"BRI (BBRI) Sebut Margin Bunga Bukan Pendorong Laba, Ini Buktinya",1,BBRI
210,"Lingkungan Lebih Hijau dan Cuan, Ini Manfaat 'BRI Menanam'",1,BBRI
211,Transaksi Digital BRI Tembus Rp 4.000 T di Kuartal II-2021,1,BBRI
212,"Tak Perlu 1 Miliar Saham, Semuanya Bisa Ikut Rights Issue BRI",0,BBRI
213,"Rupiah Awal Pekan Ini Loyo, Intip Kurs di BCA, BRI, Bank Mandiri, & BNI Senin (25/9/2023)",-1,BBRI
214,"Limit Transfer Bank BCA, BNI, BRI, dan Bank Mandiri",0,BBRI
215,"Rupiah Tunjukkan Tren Penguatan, Intip Kurs Dolar di BCA, BRI, Mandiri dan Siang Ini (14/12/2022)",1,BBRI
216,"Tingkatkan Daya Saing, BRI Perkuat Transformasi Digital",1,BBRI
217,"Kredit Lesu, Bos BRI: Uang Rp 1.200 T 'Nganggur' di Bank",-1,BBRI
218,"Laba BRI Berpeluang Cetak Rekor, Gimana Potensinya?",1,BBRI
219,Rights Issue BBRI Jadi Bukti Kepercayaan Dunia ke Indonesia,0,BBRI
220,"Asing Masuk Rp 2,2 T, Borong BBRI-BMRI & Lepas ASII-MDKA",1,BBRI
221,"BRI-BNI-Mandiri Bantu Garuda 'Survive',Tenor Utang Jadi 2026",0,BBRI
222,"Pasca Bank BRI dan Pegadaian Merger, Ini Strategi Pemerintah",1,BBRI
223,Menghitung Hari BRI Jadi Induk Pegadaian & PNM,1,BBRI
224,"Rights Issue BSI (BRIS), Begini Pembagian Pemilikan BRI (BBRI), BNI (BBNI) dan Mandiri (BMRI)",0,BBRI
225,Tok! Komite Privatisasi Restui Holding BUMN Ultra Mikro BRI,1,BBRI
226,"Punya Dana Jumbo, Likuiditas BRI Aman Selama Libur Lebaran",0,BBRI
227,"Sambut Ramadhan, BRI Salurkan Donasi Ke Masjid Istiqlal",0,BBRI
228,Sah! Pemerintah Alihkan Saham Pegadaian dan PNM ke BRI (BBRI),1,BBRI
229,"Dirut BRI Paparkan Potensi Kopi Indonesia, Seperti Apa Sih?",0,BBRI
230,"Saham BMRI, BBRI, BBNI, BBCA Tekan Indeks Bisnis-27 Melemah",-1,BBRI
231,BRI Resmi Menjadi Induk Holding BUMN Ultra Mikro,1,BBRI
232,BRI Mulai Gunakan Mobil Listrik untuk Kendaraan Operasional,0,BBRI
233,BRI Gandeng Bio Farma Sediakan Layanan di Industri Farmasi,1,BBRI
234,"Rights Issue BRI: Terbesar ASEAN, Nomor 3 Asia, ke-7 di Dunia",0,BBRI
235,"Prospek Positif, BRI Pacu Bisnis Segmen Wholesale",1,BBRI
236,Simak! Ini Tips Pakai BRI Buat Nonton Messi Jalur Khusus,0,BBRI
237,"Sungai Jadi Bersih, Ini Cara BRI Menyulap Sampah jadi Uang",0,BBRI
238,"Lengkap! Simak Jadwal Operasional Libur Lebaran Bank Mandiri (BMRI), BRI (BBRI), BTN (BBTN), dan BNI (BBNI)",0,BBRI
239,"Optimis Hadapi 2023, BRI Makin Gencar Ekspansi",1,BBRI
240,"Masa Exercise, Saatnya Investor Tebus Saham BBRI Harga Diskon",1,BBRI
241,Dukung G20: BRI Dorong Pemerataan Lewat Holding Ultra Mikro,0,BBRI
