,title,sentiment,kode_emiten,cleaned,description,published date,url,publisher,keywords,content
79,"Laba Adaro Energy Semester I 2023 Rp 14,93 T, Turun 25,9% - CNBC Indonesia",-1.0,ADRO,laba adaro energy semester rp turun,,,,,,
80,"IHSG Sumringah Lagi, 7 Saham Ini Jadi Penopang - CNBC Indonesia",1.0,ADRO,ihsg sumringah saham topang,,,,,,
81,"Asing Net Sell Rp 2,31 T, Dua Saham Big Bank Banyak Dilepas - CNBC Indonesia",-1.0,ADRO,asing net sell rp saham big bank lepas,,,,,,
82,3 Saham Bank Raksasa Jadi Penyelamat IHSG Hari Ini - CNBC Indonesia,1.0,ADRO,saham bank raksasa penyelamat ihsg,,,,,,
83,"Ditunjuk Jadi Pengganti Luhut, Saham Sandiaga Uno Lompat - CNBC Indonesia",0.0,ADRO,ganti luhut saham sandiaga uno lompat,,,,,,
84,"Dunia Memanas, Sektor Energi Makin Mengganas! - CNBC Indonesia",1.0,ADRO,dunia panas sektor energi ganas,,,,,,
85,"IHSG Gagal Happy Weekend, Asing Borong 10 Saham Ini - CNBC Indonesia",1.0,ADRO,ihsg gagal happy weekend asing borong saham,,,,,,
86,Investor Wajib Tahu! Deretan Saham Murah & Fundamental Solid - CNBC Indonesia,0.0,ADRO,investor wajib deret saham murah fundamental solid,,,,,,
87,Asing Terciduk Borong 10 Saham Ini Kala IHSG Melemah - CNBC Indonesia,1.0,ADRO,asing ciduk borong saham ihsg lemah,,,,,,
88,Asing Diam-diam Koleksi 10 Saham Ini Kala IHSG Menguat - CNBC Indonesia,1.0,ADRO,asing diamdiam koleksi saham ihsg kuat,,,,,,
89,"IHSG Sumringah Lagi, 4 Saham Ini Jadi Penopangnya - CNBC Indonesia",1.0,ADRO,ihsg sumringah saham topang,,,,,,
90,"IHSG Menghijau Lagi, 5 Saham Ini Jadi Penopangnya - CNBC Indonesia",1.0,ADRO,ihsg hijau saham topang,,,,,,
91,"Asing Terciduk Lepas 10 Saham Ini Pekan Lalu, GOTO Nomor 1? - CNBC Indonesia",-1.0,ADRO,asing ciduk lepas saham pekan goto nomor,,,,,,
92,"Asing Net Sell Rp 17,92 T, Saham Ini Paling Banyak Dijual - CNBC Indonesia",-1.0,ADRO,asing net sell rp saham jual,,,,,,
93,Produksi Grup Adaro Semester I-2023 Naik 19% Jadi 33 Juta Ton - CNBC Indonesia,1.0,ADRO,produksi grup adaro semester juta ton,,,,,,
94,"IHSG Melemah, Asing Jual 10 Saham Ini - CNBC Indonesia",-1.0,ADRO,ihsg lemah asing jual saham,,,,,,
95,Deretan Saham yang Dijual Asing Saat IHSG Hijau - CNBC Indonesia,-1.0,ADRO,deret saham jual asing ihsg hijau,,,,,,
96,Mau Saham Murah tapi Enggak Murahan? Cek 10 Daftar Ini - CNBC Indonesia,0.0,ADRO,saham murah murah cek daftar,,,,,,
97,"IHSG Ditutup Merah, Asing Kompak Lepas Saham Ini - CNBC Indonesia",-1.0,ADRO,ihsg tutup merah asing kompak lepas saham,,,,,,
98,"Harga Batu Bara Rebound, Saham Batu Bara Bergairah Lagi - CNBC Indonesia",1.0,ADRO,harga batu bara rebound saham batu bara gairah,,,,,,
99,IHSG 'Galau' Tapi 6 Saham Ini Jadi Penahan Koreksi - CNBC Indonesia,1.0,ADRO,ihsg galau saham penahan koreksi,,,,,,
100,"Waspada IHSG Menuju Level Terendah, MYOR Hingga KIJA Layak Diburu Pemburu Cuan - Investor.ID",1.0,ADRO,waspada ihsg level rendah myor kija layak buru buru cuan,,,,,,
101,Transaksi Digital Banking Tembus Rp 5.000 Triliun - Investor.ID,1.0,ADRO,transaksi digital banking tembus rp triliun,,,,,,
102,"Asing Akumulasi, TLKM Hingga JSMR Paling Diburu - Investor.ID",1.0,ADRO,asing akumulasi tlkm jsmr buru,,,,,,
103,"Yang Pegang Saham Medco Sabar, Target Harga Masih Tinggi - Investor.ID",0.0,ADRO,pegang saham medco sabar target harga tinggi,,,,,,
104,"Mirae: IHSG Konsolidasi, Pemodal Bakal Serok Cuan dari MAPI, ADRO dan MAPA - Investor.ID",1.0,ADRO,mirae ihsg konsolidasi modal serok cuan papi adro papa,,,,,,
105,"Saham ADRO, PTBA, ITMG Cs Bisa Panas Gara-gara Ini - Investor.ID",1.0,ADRO,saham adro ptba itmg cs panas garagara,,,,,,
106,"Ajaib Sekuritas: IHSG Melemah Terbatas, BRIS, ADMR dan ACES Dijagokan Cuan - Halaman 2 - Investor.ID",1.0,ADRO,ajaib sekuritas ihsg lemah batas bris admr aces jago cuan halaman,,,,,,
107,"IHSG Dibuka Menguat, Lima Saham Melambung Tinggi - Investor.ID",1.0,ADRO,ihsg buka kuat saham lambung tinggi,,,,,,
108,Saham Pilihan untuk Trading 20 September dan Target Harganya - Investor.ID,0.0,ADRO,saham pilih trading september target harga,,,,,,
109,"Saham Ini Terbang 1.450%, Bursa Kembali Bertindak - Investor.ID",1.0,ADRO,saham terbang bursa tindak,,,,,,
110,"Mirae: IHSG Menguat, WOOD, ADRO dan AMRT Masuk Radar Cuan - Investor.ID",1.0,ADRO,mirae ihsg kuat wood adro amrt radar cuan,,,,,,
111,Kumpulan Berita Radar Cuan Terbaru Dan Terkini Hari Ini - Investor.ID - Investor.ID,0.0,ADRO,kumpul berita radar cuan baru kini,,,,,,
112,Adu Cuan Empat Saham Batu Bara - Investor.ID,1.0,ADRO,adu cuan saham batu bara,,,,,,
113,Sinergi Andalan Prima (INET) Gaet OneWeb - Investor.ID,0.0,ADRO,sinergi andal prima inet gaet oneweb,,,,,,
114,"IHSG Dibuka Naik Tipis, TGUK Lagi-lagi Terbang - Investor.ID",1.0,ADRO,ihsg buka tipis tguk lagilagi terbang,,,,,,
115,"IHSG Anteng di Zona Hijau, HITS Masuk Barisan Saham Melejit - Investor.ID",1.0,ADRO,ihsg anteng zona hijau hits baris saham lejit,,,,,,
116,"Asing Belanja Banyak, Getol Borong AMMN - Investor.ID",1.0,ADRO,asing belanja getol borong ammn,,,,,,
117,"Bukan PTBA, tapi Saham Ini yang Dijagokan di Sektor Batu Bara - Investor.ID",0.0,ADRO,ptba saham jago sektor batu bara,,,,,,
118,"Ajaib Sekuritas: IHSG Mixed, Simak Strategi Cuan HRUM, BRPT dan TLKM - Investor.ID",0.0,ADRO,ajaib sekuritas ihsg mixed simak strategi cuan hrum brpt tlkm,,,,,,
119,"MNC Sekuritas: IHSG Lanjut Menguat, Jangan Lewatkan Peluang Cuan ADRO Hingga PNLF - Investor.ID",1.0,ADRO,mnc sekuritas ihsg kuat lewat peluang cuan adro pnlf,,,,,,
120,"Asing Masif Jualan, 10 Saham Ini Jadi Bulan-bulanan - Investor.ID",-1.0,ADRO,asing masif jual saham bulanbulanan,,,,,,
121,"Phintraco Sekuritas: IHSG Terkoreksi, Pantau Potensi Cuan Saham Energi dan Barang Baku Berikut - Investor.ID",1.0,ADRO,phintraco sekuritas ihsg koreksi pantau potensi cuan saham energi barang baku,,,,,,
122,"ADRO, BUMI, BRMS Masuk Indeks FTSE Global Equity Shariah - Investor.ID",1.0,ADRO,adro bumi brms indeks ftse global equity shariah,,,,,,
123,"IHSG Kembali Melesat, Lima Saham Ini Cuan Besar - Investor.ID",1.0,ADRO,ihsg melesat saham cuan,,,,,,
124,"Beberapa Sektor yang Terdampak Pemilu, 7 Saham Dijagokan - Investor.ID",1.0,ADRO,sektor dampak milu saham jago,,,,,,
125,"Investor Asing Net Buy Rp 505 Miliar, Lima Saham Ini Diborong - Investor.ID",1.0,ADRO,investor asing net buy rp miliar saham borong,,,,,,
126,"Saham Adaro Minerals (ADMR) Bangkit, Cuan Tembus 47% Sebulan - Investor.ID",1.0,ADRO,saham adaro minerals admr bangkit cuan tembus sebulan,,,,,,
127,"Pegang Terus Saham-saham EBT Ini, Harga Masih Bisa Lari - Investor.ID",1.0,ADRO,pegang sahamsaham ebt harga lari,,,,,,
128,Ini Pemicu Laba Bersih Bukit Asam (PTBA) Terkikis hingga 55% - Investor.ID,-1.0,ADRO,picu laba bersih bukit asam ptba kikis,,,,,,
129,Wanita Ini Punya Kontribusi Besar bagi Blibli Grup Djarum (BELI) - Investor.ID,0.0,ADRO,wanita kontribusi blibli grup djarum beli,,,,,,
130,"Pilarmas: IHSG Menguat Terbatas, Jangan Lewatkan Peluang Cuan MEDC Hingga ADRO - Investor.ID",1.0,ADRO,pilarmas ihsg kuat batas lewat peluang cuan medc adro,,,,,,
131,"Adaro (ADRO) Bikin Kejutan, Saham Bisa Balik ke Rp 3.000 Lebih - Investor.ID",1.0,ADRO,adaro adro bikin kejut saham rp,,,,,,
132,"Meski Laba Turun, Target Saham Adaro (ADRO) masih Menggiurkan - Investor.ID",0.0,ADRO,laba turun target saham adaro adro giur,,,,,,
133,"Harga Minyak Turun Hampir 1%, Tertekan Peningkatan Stok Bensin AS - Investor.ID",-1.0,ADRO,harga minyak turun tertekan tingkat stok bensin as,,,,,,
134,Saham Pilihan untuk Trading 24 Agustus dan Target Harganya - Investor.ID,0.0,ADRO,saham pilih trading agustus target harga,,,,,,
135,"Phintraco Sekuritas: IHSG Rawan Koreksi, Perhatikan Delapan Saham Defensif Berikut - Investor.ID",0.0,ADRO,phintraco sekuritas ihsg rawan koreksi perhati delapan saham defensif,,,,,,
136,Adaro Energy (ADRO) Belanjakan Rp 4 Triliun untuk Hal Ini - Investor.ID,0.0,ADRO,adaro energy adro belanja rp triliun,,,,,,
137,"Pendapatan Adaro (ADRO) Turun, Beban Pokok Melonjak, Boy Thohir Beri Penjelasan - Investor.ID",-1.0,ADRO,dapat adaro adro turun beban pokok lonjak boy thohir jelas,,,,,,
138,"CUAN Sudah Buka-bukaan soal Dana IPO hingga Rencana Eksplorasi Emas, Kapan Suspensi Dicabut? - Investor.ID",0.0,ADRO,cuan bukabukaan dana ipo rencana eksplorasi emas suspensi cabut,,,,,,
139,"Meski IHSG Naik Tipis, Pemodal Asing Torehkan Net Buy Rp 584 Miliar - Investor.ID",1.0,ADRO,ihsg tipis modal asing toreh net buy rp miliar,,,,,,
140,"Saham Batubara Melesat, Ternyata Gara-gara Aturan Ini - Investor.ID",1.0,ADRO,saham batubara melesat garagara atur,,,,,,
141,"PANI Kasih Pemodal Cuan Gede, HUMI Paling Jeblok - Investor.ID",0.0,ADRO,pani kasih modal cuan gede humi jeblok,,,,,,
142,PTBA dan ADRO Bakal Untung Besar Gara-gara Aturan Ini - Investor.ID,1.0,ADRO,ptba adro untung garagara atur,,,,,,
143,"BRI Danareksa Sekuritas: IHSG bisa Naik, Cermati Tiga Saham Ini - Investor.ID",1.0,ADRO,bri danareksa sekuritas ihsg cermat saham,,,,,,
144,"Phintraco Sekuritas: IHSG Fluktuatif, Pantau Peluang Cuan Tujuh Saham Berikut - Investor.ID",1.0,ADRO,phintraco sekuritas ihsg fluktuatif pantau peluang cuan tujuh saham,,,,,,
145,"Jumlah Pemegang Saham Adaro (ADRO) Makin Banyak, Para Konglomerat Ini Ikut Koleksi - Investor.ID",1.0,ADRO,pegang saham adaro adro konglomerat koleksi,,,,,,
146,Sosok Konglomerat Wanita Berpengaruh di Adaro (ADRO) - Investor.ID,0.0,ADRO,sosok konglomerat wanita pengaruh adaro adro,,,,,,
147,Adaro Energy (ADRO) Buka-bukaan soal Bisnis Baru - Investor.ID,0.0,ADRO,adaro energy adro bukabukaan bisnis,,,,,,
148,"Ada Perubahan Signifikan Mengenai Hal Berikut, Bos Indo Tambangraya (ITMG) Beri Penjelasan - Investor.ID",0.0,ADRO,ubah signifikan bos indo tambangraya itmg jelas,,,,,,
149,Adaro Energy (ADRO) Ungkap Kinerja Semester I - Investor.ID,0.0,ADRO,adaro energy adro kinerja semester,,,,,,
150,Memburu Cuan dari Sejumlah Emiten yang Royal Tebar Dividen di Akhir Tahun - Investasi Kontan,1.0,ADRO,buru cuan emiten royal tebar dividen tahun,,,,,,
151,"IHSG Melemah Tipis ke 7.010,5 di Pagi Ini, TBIG, TLKM, BUKA Jadi Top Losers LQ45 - Investasi Kontan",-1.0,ADRO,ihsg lemah tipis pagi tbig tlkm buka top losers lq,,,,,,
152,Simak Rekomendasi Emiten yang Bakal Bagi Dividen Interim pada Kuartal IV 2023 - Investasi Kontan,1.0,ADRO,simak rekomendasi emiten dividen interim kuartal iv,,,,,,
153,"Emiten Ini Berpotensi Tebar Dividen Interim, Cek Rekomendasi Sahamnya - Investasi Kontan",1.0,ADRO,emiten potensi tebar dividen interim cek rekomendasi saham,,,,,,
154,"Sejumlah Emiten Berpotensi Bagi Dividen Interim, Berikut Rekomendasi Sahamnya - Investasi Kontan",1.0,ADRO,emiten potensi dividen interim rekomendasi saham,,,,,,
155,"Tersulut Harga Komoditas, Ini Tips Berinvestasi di Saham Berbasis Energi - Investasi Kontan",0.0,ADRO,sulut harga komoditas tips investasi saham basis energi,,,,,,
156,"IHSG Naik 0,49%, Ini Top Gainers & Losers Pasar Saham Sepekan - Investasi Kontan",0.0,ADRO,ihsg top gainers losers pasar saham sepekan,,,,,,
157,"Harga Saham Sektor Energi Tersengat Kenaikan Harga Komoditas, Cek Rekomendasi Analis - Investasi Kontan",1.0,ADRO,harga saham sektor energi sengat kenaikan harga komoditas cek rekomendasi analis,,,,,,
158,Intip Rekomendasi Saham Emiten Energi di Tengah Kenaikan Harga Minyak dan Batubara - Investasi Kontan,1.0,ADRO,intip rekomendasi saham emiten energi tengah kenaikan harga minyak batubara,,,,,,
159,"IHSG Bergerak Tipis, Saham MEDC Top Gainer LQ45 Pada Rabu (13/9) Pagi - Investasi Kontan",1.0,ADRO,ihsg gerak tipis saham medc top gainer lq rabu pagi,,,,,,
