,title,sentiment,kode_emiten,cleaned,description,published date,url,publisher,keywords,content,published_date,kode_emitten
30,BRI Resmi Menjadi Induk Holding BUMN Ultra Mikro,1.0,BBRI,bri resmi induk holding bumn ultra mikro,,,,,,,,
31,BRI Mulai Gunakan Mobil Listrik untuk Kendaraan Operasional,0.0,BBRI,bri mobil listrik kendara operasional,,,,,,,,
32,BRI Gandeng Bio Farma Sediakan Layanan di Industri Farmasi,1.0,BBRI,bri gandeng bio farma sedia layan industri farmasi,,,,,,,,
33,"Rights Issue BRI: Terbesar ASEAN, Nomor 3 Asia, ke-7 di Dunia",0.0,BBRI,rights issue bri besar asean nomor asia dunia,,,,,,,,
34,"Prospek Positif, BRI Pacu Bisnis Segmen Wholesale",1.0,BBRI,prospek positif bri pacu bisnis segmen wholesale,,,,,,,,
35,Simak! Ini Tips Pakai BRI Buat Nonton Messi Jalur Khusus,0.0,BBRI,simak tips pakai bri tonton messi jalur,,,,,,,,
36,"Sungai Jadi Bersih, Ini Cara BRI Menyulap Sampah jadi Uang",0.0,BBRI,sungai bersih bri sulap sampah uang,,,,,,,,
37,"Lengkap! Simak Jadwal Operasional Libur Lebaran Bank Mandiri (BMRI), BRI (BBRI), BTN (BBTN), dan BNI (BBNI)",0.0,BBRI,lengkap simak jadwal operasional libur lebaran bank mandiri bmri bri bbri btn bbtn bni bbni,,,,,,,,
38,"Optimis Hadapi 2023, BRI Makin Gencar Ekspansi",1.0,BBRI,optimis hadap bri gencar ekspansi,,,,,,,,
39,"Masa Exercise, Saatnya Investor Tebus Saham BBRI Harga Diskon",1.0,BBRI,exercise investor tebus saham bbri harga diskon,,,,,,,,
40,Dukung G20: BRI Dorong Pemerataan Lewat Holding Ultra Mikro,0.0,BBRI,dukung bri dorong perata holding ultra mikro,,,,,,,,
41,BRI (BBRI) Sebut Tidak Memiliki Kerja Sama Langsung dengan Binomo,0.0,BBRI,bri bbri milik binomo,,,,,,,,
42,"Cek Kurs Dolar AS di BCA, BRI, Bank Mandiri, dan BNI Hari Ini 17 Oktober 2022",0.0,BBRI,cek kurs dolar as bca bri bank mandiri bni oktober,,,,,,,,
43,BRI Jadi BUMN Dengan Kontribusi Dividen & Pajak Terbaik,0.0,BBRI,bri bumn kontribusi dividen pajak baik,,,,,,,,
44,"BRI Kembali Menorehkan Prestasi Internasional Berupa Best Priority Banking, Sekaligus Menghadirkan Konsep Baru Priority Center di Tahun 2021",1.0,BBRI,bri toreh prestasi internasional best priority banking hadir konsep priority center tahun,,,,,,,,
45,Cek Rekening! THR Dividen Saham BRI (BBRI) dan Bank Mandiri (BMRI) Masuk Hari Ini (12/4),0.0,BBRI,cek rekening thr dividen saham bri bbri bank mandiri bmri,,,,,,,,
46,"Wuidih Target Harga Saham Bank BRI Tembus Rp 5.200, Yakin?",0.0,BBRI,wuidih target harga saham bank bri tembus rp,,,,,,,,
47,"Manfaatkan GSP, BRI & Kemendag Pacu Ekspor Produk UMKM ke AS",1.0,BBRI,manfaat gsp bri kemendag pacu ekspor produk umkm as,,,,,,,,
48,Bank BRI (BBRI) Kantongi Izin Buka Unit Kerja Baru di Taiwan,1.0,BBRI,bank bri bbri kantong izin buka unit taiwan,,,,,,,,
49,"BCA, CIMB Niaga, BRI, dan BNI Tawarkan KTA dengan Bunga Menarik",0.0,BBRI,bca cimb niaga bri bni tawar kta bunga tarik,,,,,,,,
50,"Transformasi Lancar, BRI Dinobatkan Jadi BUMN Terbaik",1.0,BBRI,transformasi lancar bri nobat bumn baik,,,,,,,,
51,"Semester I/2020, Bank BRI (BBRI) Raup Laba Bersih Rp10,2 Triliun",1.0,BBRI,semester bank bri bbri raup laba bersih rp triliun,,,,,,,,
52,"BRI Ungkap Strategi Jadi Hybrid Bank, Seperti Apa?",0.0,BBRI,bri strategi hybrid bank,,,,,,,,
53,68 Paskibraka & 1.800 Anak Pelaku UMKM Dapat Beasiswa BRI,0.0,BBRI,paskibraka anak pelaku umkm beasiswa bri,,,,,,,,
54,Terungkap! Ini Alasan Setoran Dividen BRI Naik Jadi 65%,1.0,BBRI,ungkap alas setor dividen bri,,,,,,,,
55,"Tebar Dividen Rp 8,63 Triliun, Intip Deretan Capaian BRI",1.0,BBRI,tebar dividen rp triliun intip deret capai bri,,,,,,,,
56,"Antara BRI (BBRI) hingga BCA (BBCA), Siapa Paling Jago Cari Cuan?",0.0,BBRI,bri bbri bca bbca jago cari cuan,,,,,,,,
57,"Harga Saham Bank Jumbo (BMRI, BBRI, BBCA, Hingga PNBN) Kompak Menguat",1.0,BBRI,harga saham bank jumbo bmri bbri bbca pnbn kompak kuat,,,,,,,,
58,Begini Jurus BRI Kejar Inklusi Keuangan di Kawasan 3T,0.0,BBRI,jurus bri kejar inklusi uang kawasan,,,,,,,,
59,"Lewat Komunitas Srikandi, BRI Dukung Pemberdayaan Perempuan",0.0,BBRI,komunitas srikandi bri dukung daya perempuan,,,,,,,,
60,"Tiga Waran Terstruktur ADRO, BBRI, UNVR Resmi Meluncur Hari Ini",1.0,BBRI,waran struktur adro bbri unvr resmi luncur,,,,,,,,
61,BRI Targetkan Jaring 400.000 Pelaku Usaha Kelautan Lewat Kartu Kusuka,0.0,BBRI,bri target jaring pelaku usaha laut kartu suka,,,,,,,,
62,Nasabah BRI Tetap Gratis Transaksi di ATM BRI Hingga BRImo,0.0,BBRI,nasabah bri gratis transaksi atm bri brimo,,,,,,,,
63,"Persaingan Ketat Bank Jumbo, Ini DPK 4 Bank Mandiri, BRI, BNI, dan BCA",0.0,BBRI,saing ketat bank jumbo dpk bank mandiri bri bni bca,,,,,,,,
64,"Laju Penyaluran Kredit Perbankan Alami Peningkatan, Intip Capaian BNI (BBNI) hingga BRI (BBRI)",1.0,BBRI,laju penyaluran kredit perban alami tingkat intip capai bni bbni bri bbri,,,,,,,,
65,"Kinerja Berbasis ESG, BRI Raih Berbagai Penghargaan di 2020",0.0,BBRI,kinerja basis esg bri raih harga,,,,,,,,
66,BRI Perkuat Peran UMKM Serap Ratusan Juta Tenaga Kerja,1.0,BBRI,bri kuat peran umkm serap ratus juta tenaga,,,,,,,,
67,BRI (BBRI) Tutup 6 Kantor Cabang Pembantu Sepanjang Kuartal I/2022,-1.0,BBRI,bri bbri tutup kantor cabang bantu kuartal,,,,,,,,
68,"Adu Kencang Reli Saham Bank KBMI IV (BMRI, BBRI, BBCA, dan BBNI) di Tengah Laju Laba Jumbo",1.0,BBRI,adu kencang reli saham bank kbmi iv bmri bbri bbca bbni tengah laju laba jumbo,,,,,,,,
69,"Suku Bunga KPR Terbaru 10 Bank Besar: BRI, BCA, hingga BTN",0.0,BBRI,suku bunga kpr baru bank bri bca btn,,,,,,,,
70,"Moncer di Tengah Pandemi, Bisnis Kartu Kredit BRI Tumbuh 41%",1.0,BBRI,moncer tengah pandemi bisnis kartu kredit bri tumbuh,,,,,,,,
71,"Jalankan Prinsip ESG, BRI Unggul di Investasi Hijau",1.0,BBRI,jalan prinsip esg bri unggul investasi hijau,,,,,,,,
72,"Perkuat Ekosistem Digital, Penyaluran KUR BRI Capai Rp 88,9 T",1.0,BBRI,kuat ekosistem digital penyaluran kur bri capai rp,,,,,,,,
73,BRI Digitalisasikan Koperasi Lewat Platform Smartscoop,0.0,BBRI,bri digitalisasi koperasi platform smartscoop,,,,,,,,
74,Erick Pernah Kode Aksi Korporasi Besar BRI & Pesan Beli Saham,0.0,BBRI,erick kode aksi korporasi bri pesan beli saham,,,,,,,,
75,"Tarik Tunai di ATM Link Kena Biaya, BRI Angkat Bicara",0.0,BBRI,tarik tunai atm link biaya bri angkat bicara,,,,,,,,
76,"Bank Permata (BNLI) Naik Kasta! Sekelas BCA, BRI, BNI, & Bank Mandiri",1.0,BBRI,bank permata bnli kasta kelas bca bri bni bank mandiri,,,,,,,,
77,"Jadi Holding Ultra Mikro BUMN, BRI Minta Kelonggaran BMPK",0.0,BBRI,holding ultra mikro bumn bri longgar bmpk,,,,,,,,
78,"Transaksi Digital Diproyeksi Tumbuh Pesat, BRI (BBRI) dan BCA (BBCA) Jor-joran Belanja IT",1.0,BBRI,transaksi digital proyeksi tumbuh pesat bri bbri bca bbca jorjoran belanja it,,,,,,,,
79,BRI Resmikan Menara BRILian di Hari Kemerdekaan,0.0,BBRI,bri resmi menara brilian merdeka,,,,,,,,
80,"Dua Kantor BRI di Cianjur Rusak Terdampak Gempa, Nasabah Bisa Pakai Layanan E-Buzz",0.0,BBRI,kantor bri cianjur rusak dampak gempa nasabah pakai layan ebuzz,,,,,,,,
81,"Bukan Akuisisi, Ini Sinergi BRI dengan Pegadaian & PNM",1.0,BBRI,akuisisi sinergi bri pegadaian pnm,,,,,,,,
82,Transfer Sesama BRI di Seluruh ATM BRI Gratis!,0.0,BBRI,transfer bri atm bri gratis,,,,,,,,
83,"Saldo Rekening BRI Milik ASN Kemenag di Tuban Terkuras Karena Soceng, Bank Ganti?",0.0,BBRI,saldo rekening bri milik asn kemenag tuban kuras soceng bank ganti,,,,,,,,
84,Simak! Ini Hasil RUPSLB dan Susunan Komisaris Terbaru Bank BRI,0.0,BBRI,simak hasil rupslb susun komisaris baru bank bri,,,,,,,,
85,"Tebarkan Social Values, Ini Sederet Capaian BRI",0.0,BBRI,tebar social values deret capai bri,,,,,,,,
86,"Cara Cek Mutasi BRI di ATM, Teller, SMS, BRImo, dan Internet Banking",0.0,BBRI,cek mutasi bri atm teller sms brimo internat banking,,,,,,,,
87,"BRI (BBRI) Tawarkan Asuransi untuk Pemudik, Premi Mulai Rp5.000",0.0,BBRI,bri bbri tawar asuransi mudik premi rp,,,,,,,,
88,Bos BRI Jamin Hapus Tagih Kredit UMKM Tak Ganggu Kinerja BRI,0.0,BBRI,bos bri jamin hapus tagih kredit umkm ganggu kinerja bri,,,,,,,,
89,Video: Implementasi Nyata BRI Terapkan Prinsip ESG,0.0,BBRI,video implementasi bri terap prinsip esg,,,,,,,,
90,"Wow! BRI Cairkan Kredit Rp 1T per Hari, Incar Rp 270T di 2023",1.0,BBRI,wow bri cair kredit rp incar rp,,,,,,,,
91,"BRI Life Rilis Double Care, Manfaat Sampai Rp 5 M",0.0,BBRI,bri life rilis double care manfaat rp,,,,,,,,
92,"20 Bank Ditunjuk Jadi Penampung DHE, Intip Manfaatnya Menurut Citibank hingga BRI (BBRI)",0.0,BBRI,bank tampung dhe intip manfaat citibank bri bbri,,,,,,,,
93,BRI Tunjuk Cinta Laura Jadi Brand Ambassador,0.0,BBRI,bri cinta laura brand ambassador,,,,,,,,
94,"128 Tahun Layani Segmen Mikro, Bos BRI Ungkap Tantangannya",0.0,BBRI,tahun layan segmen mikro bos bri tantang,,,,,,,,
95,Saham BRI hingga GOTO Jadi Favorit Investor Asing pada Semester I/2023,1.0,BBRI,saham bri goto favorit investor asing semester,,,,,,,,
96,"IHSG Melemah Tertekan Saham BMRI, BBRI, hingga ASII, BABY Cuan",-1.0,BBRI,ihsg lemah tertekan saham bmri bbri asii baby cuan,,,,,,,,
97,"Boleh Rangkap, Rektor UI Kok Mundur Dari Komisaris BRI?",0.0,BBRI,rangkap rektor ui mundur komisaris bri,,,,,,,,
98,Komisaris BRI Rofikoh Rokhim Dikukuhkan Jadi Profesor FEB UI,0.0,BBRI,komisaris bri rofikoh rokhim kukuh profesor feb ui,,,,,,,,
99,BRI Jadi Best of The Best Communication dalam Ajang BCOMSS,0.0,BBRI,bri best of the best communication ajang bcomss,,,,,,,,
100,Riset BRIN: KUR BRI Tingkatkan Kesejahteraan Masyarakat,0.0,BBRI,riset brin kur bri tingkat sejahtera masyarakat,,,,,,,,
101,"BRI Liga 1 Resmi Dimulai, BRI Jadi Bagian Sejarah Sepak Bola",0.0,BBRI,bri liga resmi bri sejarah sepak bola,,,,,,,,
102,Bisnis Internasional BRI Tetap Bertumbuh di Tengah Pandemi,1.0,BBRI,bisnis internasional bri tumbuh tengah pandemi,,,,,,,,
103,"IHSG Ambruk, Saham BBRI Cs Gimana?",-1.0,BBRI,ihsg ambruk saham bbri cs gimana,,,,,,,,
104,BRI Jadi BO Valas Bersama Kementerian Keuangan,0.0,BBRI,bri bo valas menteri uang,,,,,,,,
105,"Tingkatkan Inklusi UMKM, BRI Hadirkan Peer to Peer Lending",1.0,BBRI,tingkat inklusi umkm bri hadir peer to peer lending,,,,,,,,
106,"OJK Setop Restrukturisasi Covid-19, Intip Sisanya di BRI (BBRI) hingga BSI (BRIS)",0.0,BBRI,ojk setop restrukturisasi covid intip sisa bri bbri bsi bris,,,,,,,,
107,"IHSG Besok Diprediksi Menguat, Rekomendasi Saham BBRI & TOWR",1.0,BBRI,ihsg besok prediksi kuat rekomendasi saham bbri towr,,,,,,,,
108,"Tegas ke Pelanggar 3M, Satpam BRI Raih Penghargaan dari Polri",0.0,BBRI,pelanggar satpam bri raih harga polri,,,,,,,,
109,"Rektor UI Mundur dari Wakomut, Begini Respons Bos Bank BRI",0.0,BBRI,rektor ui mundur wakomut respons bos bank bri,,,,,,,,
110,Perhatian! Buyback Saham BRI Berlangsung Hingga Agustus 2023,1.0,BBRI,perhati buyback saham bri agustus,,,,,,,,
111,"Bank Bisa Miliki Pinjol Cs, BRI (BBRI) Beberkan Kesiapan Ekosistem",0.0,BBRI,bank milik pinjol cs bri bbri kan kesiap ekosistem,,,,,,,,
112,Kode Keras Investor Asing Masuk BSI Gantikan BRI dan BNI,-1.0,BBRI,kode keras investor asing bsi ganti bri bni,,,,,,,,
113,Top! Bos BRI Sabet Leadership Achievement Awards,0.0,BBRI,top bos bri sabet leadership achievement awards,,,,,,,,
114,Sah! Ini Susunan Komisaris dan Direksi BRI Terbaru,0.0,BBRI,sah susun komisaris direksi bri baru,,,,,,,,
115,Bos BRI Sebut Transaksi Agen BRILink Tembus Rp1.297 Triliun Sepanjang 2022,1.0,BBRI,bos bri transaksi agen brilink tembus rp triliun,,,,,,,,
116,"BRI Siapkan Inovasi Digital Jangka Panjang, Untuk Apa?",0.0,BBRI,bri siap inovasi digital jangka,,,,,,,,
117,Cerita UMKM BRI Bangun Kampung Kue Dengan Omzet Puluhan Juta,0.0,BBRI,cerita umkm bri bangun kampung kue omzet puluh juta,,,,,,,,
118,Cuma BRI Perusahaan RI yang Masuk Sustainability Yearbook S&P,1.0,BBRI,bri usaha ri sustainability yearbook sp,,,,,,,,
119,"IHSG Naik Tembus 6.900, Saham BMRI, BBRI, AMMN Cuan Banyak",1.0,BBRI,ihsg tembus saham bmri bbri ammn cuan,,,,,,,,
120,"BRI Finance Tekan Kredit Bermasalah, Jaga NPF di Bawah 2 Persen",-1.0,BBRI,bri finance tekan kredit masalah jaga npf persen,,,,,,,,
121,"Bos Bank BRI Pede, Kredit Bisa Dikerek 7% Tahun Ini",1.0,BBRI,bos bank bri pede kredit kerek tahun,,,,,,,,
122,BRI Jadi Bank Nasional Dengan Pengelolaan Risiko ESG Terbaik,1.0,BBRI,bri bank nasional kelola risiko esg baik,,,,,,,,
123,Cetak Rekor! Kredit UMKM Bank BRI Tembus Rp 1.000 T,1.0,BBRI,cetak rekor kredit umkm bank bri tembus rp,,,,,,,,
124,"Cetak Laba Rp 39,31 T, Kontribusi BRI Ke Negara Makin Tinggi",1.0,BBRI,cetak laba rp kontribusi bri negara tinggi,,,,,,,,
125,"Cegah Krisis Perubahan Iklim, BRI Genjot Pembiayaan Hijau",0.0,BBRI,cegah krisis ubah iklim bri genjot biaya hijau,,,,,,,,
126,Keren! BRI Raih 3 Penghargaan Bergengsi Asiamoney,1.0,BBRI,keren bri raih harga gengsi asiamoney,,,,,,,,
127,"Pinjaman KUR 2023: Simak Rencana BRI, BSI, Serta Bank Mandiri Sebelum Mengajukan Kredit",0.0,BBRI,pinjam kur simak rencana bri bsi bank mandiri aju kredit,,,,,,,,
128,"IHSG Dibuka Naik Jelang Rilis Inflasi RI, Saham BBCA, BMRI & BBRI Mantul",1.0,BBRI,ihsg buka jelang rilis inflasi ri saham bbca bmri bbri pantul,,,,,,,,
129,"Lampaui BCA, BRI (BBRI) Raup Laba Bersih Rp32,21 Triliun Sepanjang 2021",1.0,BBRI,lampau bca bri bbri raup laba bersih rp triliun,,,,,,,,
130,Hari Ini BRI-Mandiri-BNI Buka? Cek Jadwal Terbarunya,0.0,BBRI,brimandiribni buka cek jadwal baru,,,,,,,,
131,"Suku Bunga KPR BTN, BRI, Bank Mandiri, BCA dan BJB. Ini yang Paling Murah",0.0,BBRI,suku bunga kpr btn bri bank mandiri bca bjb murah,,,,,,,,
132,"141 Ribu Orang Ramaikan Event Tahunan BRI Ini, Mau Apa?",0.0,BBRI,ribu ramai event tahun bri,,,,,,,,
133,"BRI Microfinance Outlook, Pemberdayaan UMi Untuk Ekonomi",0.0,BBRI,bri microfinance outlook daya umi ekonomi,,,,,,,,
134,"BRI Gelar Rights Issue, Untung atau Buntung Bagi Investor?",0.0,BBRI,bri gelar rights issue untung buntung investor,,,,,,,,
135,"Transaksi Digital Banking Naik 29,47 Persen, Intip Capaian BNI, Mandiri, hingga BRI",1.0,BBRI,transaksi digital banking persen intip capai bni mandiri bri,,,,,,,,
136,Mantap! BRI Dinobatkan Sebagai World's Best Banks 2022,1.0,BBRI,mantap bri nobat worlds best banks,,,,,,,,
137,"Kurs Jual Beli Dolar AS di BCA dan BRI, 16 April 2021",0.0,BBRI,kurs jual beli dolar as bca bri april,,,,,,,,
138,"Ari Kuncoro Mundur Dari Komisaris BRI, Siapa Penggantinya?",0.0,BBRI,ari kuncoro mundur komisaris bri penggantinya,,,,,,,,
139,"Raih Laba Rp 15,56 T, Saham BBRI Bergerak Fantastis!",1.0,BBRI,raih laba rp saham bbri gerak fantastis,,,,,,,,
140,Mau Mudik? BRI Citilink Online Travel Fair Ada Promo Oke Nih,0.0,BBRI,mudik bri citilink online travel fair promo oke ini,,,,,,,,
141,BRI Implementasikan Strategi Komunikasi yang Kreatif dan Berempati,0.0,BBRI,bri implementasi strategi komunikasi kreatif empati,,,,,,,,
142,Resmi! Pemerintah Alihkan Saham PNM dan Pegadaian ke BRI,1.0,BBRI,resmi perin alih saham pnm pegadaian bri,,,,,,,,
143,Saham BBCA dan BBRI Paling Diburu Investor Asing Selama Sepekan,1.0,BBRI,saham bbca bbri buru investor asing sepekan,,,,,,,,
144,"Terbitkan Obligasi, BRI Finance Tawarkan Imbal Hasil hingga 7 Persen",0.0,BBRI,terbit obligasi bri finance tawar imbal hasil persen,,,,,,,,
145,"Wow! Saham BBRI Naik 3 Hari, Asing Masuk, Ini Katalisnya!",1.0,BBRI,wow saham bbri asing katalis,,,,,,,,
146,Dirut BRI Sunarso Dinobatkan Sebagai Best CEO of The Year,0.0,BBRI,dirut bri sunarso nobat best ceo of the year,,,,,,,,
147,"BRI (BBRI) Bagi Dividen Jumbo Rp8,63 Triliun, Cek Jadwalnya",1.0,BBRI,bri bbri dividen jumbo rp triliun cek jadwal,,,,,,,,
148,"BRI Life Kantongi Laba Bersih Rp344,3 M, Naik Dua Kali Lipat",1.0,BBRI,bri life kantong laba bersih rp lipat,,,,,,,,
149,Simak Jenis Pinjaman Bank BRI (BBRI) untuk Pelaku UMKM,0.0,BBRI,simak jenis pinjam bank bri bbri pelaku umkm,,,,,,,,
150,"Jawab Kebutuhan Nasabah, BRI Luncurkan Produk Asuransi PGH",0.0,BBRI,butuh nasabah bri luncur produk asuransi pgh,,,,,,,,
151,"Selain Rights Issue, BRI (BBRI) Lakukan 2 Aksi Korporasi Besar Ini di Era Pandemi",0.0,BBRI,rights issue bri bbri laku aksi korporasi era pandemi,,,,,,,,
152,BRI Insurance Syariah Resmikan Cabang di Serambi Mekah,0.0,BBRI,bri insurance syariah resmi cabang serambi mekah,,,,,,,,
153,Kuncian Saham BRI (BBRI) saat BI Tahan Suku Bunga,0.0,BBRI,kunci saham bri bbri bi tahan suku bunga,,,,,,,,
154,"Cek! Ini Jadwal Pemblokiran Kartu ATM BCA, BRI, Mandiri & BNI",0.0,BBRI,cek jadwal blokir kartu atm bca bri mandiri bni,,,,,,,,
155,"BRI Gandeng OPPO Indonesia, Perluas Transaksi Digital",1.0,BBRI,bri gandeng oppo indonesia luas transaksi digital,,,,,,,,
156,Top! BRI Peluang Raup Dana Segar Rp 40 T dari Rights Issue,1.0,BBRI,top bri peluang raup dana segar rp rights issue,,,,,,,,
157,Gratis! Nasabah Bisa Ganti Kartu ATM Chip di Semua Cabang BRI,0.0,BBRI,gratis nasabah ganti kartu atm chip cabang bri,,,,,,,,
158,"Raup Rp 31 T, BRI Jadi Emiten dengan Laba Terbesar di BEI",1.0,BBRI,raup rp bri emiten laba besar bei,,,,,,,,
159,Konkret! Ini Cara BRI Dukung Pemerintah Tingkatkan Ekspor RI,0.0,BBRI,konkret bri dukung perin tingkat ekspor ri,,,,,,,,
160,"Cerita Inspiratif, Beasiswa BRI Wujudkan Mimpi Anak Petani",0.0,BBRI,cerita inspiratif beasiswa bri wujud mimpi anak petan,,,,,,,,
161,"Jadi Induk Pegadaian dan PNM, BRI (BBRI) Pamerkan Capaian UMi",1.0,BBRI,induk pegadaian pnm bri bbri pamer capai umi,,,,,,,,
162,"BRI Cabang Samarinda Salurkan KUR Rp388,76 Miliar di Awal 2021",0.0,BBRI,bri cabang samarinda salur kur rp miliar,,,,,,,,
163,"Wow, Biar Go Global BRI Bawa UMKM Mentas ke Meksiko",0.0,BBRI,wow biar go global bri bawa umkm mentas meksiko,,,,,,,,
164,"Genjot UMKM Sukses, Ternyata Ini Rahasia Strategi Bank BRI",1.0,BBRI,genjot umkm sukses rahasia strategi bank bri,,,,,,,,
165,Strategi Penyuluran Kredit BRI Hadapi Momentum Tahun Politik,0.0,BBRI,strategi penyuluran kredit bri hadap momentum tahun politik,,,,,,,,
166,"Laba Tumbuh Pesat, Cek Rekomendasi Saham BBCA, BMRI, BNI, BRI",1.0,BBRI,laba tumbuh pesat cek rekomendasi saham bbca bmri bni bri,,,,,,,,
167,"IHSG Ditutup Melemah ke 6.636, Saham BYAN, TLKM dan BBRI Merah",-1.0,BBRI,ihsg tutup lemah saham byan tlkm bbri merah,,,,,,,,
168,"Hadirkan Figur Inspiratif UMKM, BRI Ajak Makin Bertumbuh",0.0,BBRI,hadir figur inspiratif umkm bri ajak tumbuh,,,,,,,,
169,"BRI Upgrade Layanan BRIguna, Kini Bisa Pinjam Secara Online",0.0,BBRI,bri upgrade layan briguna pinjam online,,,,,,,,
170,BRI 'Terbangkan' Aksesoris Fesyen Daur Ulang ke Belanda,0.0,BBRI,bri terbang aksesoris fesyen daur ulang belanda,,,,,,,,
171,Terungkap! Asing Ternyata Borong Rights Issue BRI Rp 30 T,1.0,BBRI,ungkap asing borong rights issue bri rp,,,,,,,,
